scientific_name,ebird_code,common_name,alpha
Microtarsus priocephalus,gyhbul1,Grey-headed Bulbul,
Microtarsus urostictus,yewbul1,Yellow-wattled Bulbul,
Microtus abbreviatus,,,
Microtus agrestis,,,
Microtus arvalis,,,
Microtus pennsylvanicus,,,
Microtus subterraneus,,,
Microtus xanthognathus,,,
Microwave_oven,,,
Microxenops milleri,rutxen1,Rufous-tailed Xenops,
Micrurus tener,,,
Micryletta erythropoda,,,
Micryletta steinegeri,,,
Milvus migrans,blakit1,Black Kite,BLAK
Milvus milvus,redkit1,Red Kite,
Mimus dorsalis,brbmoc1,Brown-backed Mockingbird,
Mimus gilvus,tromoc,Tropical Mockingbird,TRMO
Mimus graysoni,socmoc1,Socorro Mockingbird,SOMO
Mimus gundlachii,bahmoc,Bahama Mockingbird,BAMO
Mimus longicaudatus,lotmoc1,Long-tailed Mockingbird,
Mimus macdonaldi,hoomoc1,Espanola Mockingbird,
Mimus melanotis,chamoc2,San Cristobal Mockingbird,
Mimus parvulus,galmoc1,Galapagos Mockingbird,
Mimus patagonicus,patmoc1,Patagonian Mockingbird,
Mimus polyglottos,normoc,Northern Mockingbird,NOMO
Mimus saturninus,chbmoc1,Chalk-browed Mockingbird,
Mimus thenca,chimoc1,Chilean Mockingbird,
Mimus trifasciatus,chamoc1,Floreana Mockingbird,
Mimus triurus,whbmoc1,White-banded Mockingbird,
Minervarya agricola,,,
Minervarya nepalensis,,,
Minervarya rufescens,,,
Minla ignotincta,retmin1,Red-tailed Minla,
Mino anais,golmyn1,Golden Myna,
Mino dumontii,yefmyn1,Yellow-faced Myna,
Mino kreffti,lotmyn1,Long-tailed Myna,
Mioacris javana,,,
Miogryllus lineatus,,,
Miogryllus verticalis,,,
Mionectes macconnelli,mccfly1,McConnell's Flycatcher,
Mionectes oleagineus,ocbfly1,Ochre-bellied Flycatcher,OBFL
Mionectes olivaceus,olsfly2,Olive-striped Flycatcher,OSTF
Mionectes roraimae,mccfly3,Sierra de Lema Flycatcher,
Mionectes rufiventris,gyhfly1,Grey-hooded Flycatcher,
Mionectes striaticollis,stnfly1,Streak-necked Flycatcher,
Miopithecus ogouensis,,,
Mirafra albicauda,whtlar1,White-tailed Lark,
Mirafra cheniana,latlar1,Melodious Lark,
Mirafra javanica,sinbus6,Singing Bush Lark,
Mirafra passerina,monlar2,Monotonous Lark,
Mirafra pulpa,frilar1,Friedmann's Lark,
Mirafra williamsi,willar1,Williams's Lark,
Mirollia hexapinna,,,
Mirounga angustirostris,,,
Mirounga leonina,,,
Mitius blennus,,,
Mitius enatus,,,
Mitius minor,,,
Mitrephanes olivaceus,olifly2,Olive Tufted Flycatcher,
Mitrephanes phaeocercus,tuffly,Northern Tufted Flycatcher,TUFL
Mitrospingus cassinii,duftan1,Dusky-faced Tanager,DFTA
Mitrospingus oleagineus,olbtan1,Olive-backed Tanager,
Mitu mitu,alacur1,Alagoas Curassow,
Mitu salvini,salcur1,Salvin's Curassow,
Mitu tomentosum,crecur2,Crestless Curassow,
Mitu tuberosum,rabcur2,Razor-billed Curassow,
Mixophyes carbinensis,,,
Mixophyes coggeri,,,
Mixophyes fasciolatus,,,
Mixophyes fleayi,,,
Mixophyes iteratus,,,
Mixophyes schevilli,,,
Mixornis bornensis,bostib1,Bold-striped Tit-Babbler,
Mixornis flavicollis,gyctib1,Grey-cheeked Tit-Babbler,
Mixornis gularis,sttbab1,Pin-striped Tit-Babbler,
Mixornis kelleyi,gyftib1,Grey-faced Tit-Babbler,
Mniotilta varia,bawwar,Black-and-white Warbler,BAWW
Modestana ebneri,,,
Modestana modesta,,,
Modicogryllus algirius,,,
Modicogryllus confirmatus,,,
Modicogryllus consobrinus,,,
Modicogryllus conspersus,,,
Modicogryllus cyprius,,,
Modicogryllus frontalis,,,
Modicogryllus perplexus,,,
Modicogryllus truncatus,,,
Modulatrix stictigula,spothr1,Spot-throat,
Mogannia formosana,,,
Mogannia hebes,,,
Mogannia minuta,,,
Mogulones geographicus,,,
Mohoua albicilla,whiteh1,Whitehead,
Mohoua novaeseelandiae,pipipi1,Pipipi,
Mohoua ochrocephala,yellow3,Yellowhead,
Molothrus aeneus,brocow,Bronzed Cowbird,BROC
Molothrus ater,bnhcow,Brown-headed Cowbird,BHCO
Molothrus bonariensis,shicow,Shiny Cowbird,SHCO
Molothrus oryzivorus,giacow,Giant Cowbird,GICO
Molothrus rufoaxillaris,scrcow1,Screaming Cowbird,
Momotus aequatorialis,higmot1,Andean Motmot,
Momotus bahamensis,trimot1,Trinidad Motmot,
Momotus coeruliceps,bucmot1,Blue-capped Motmot,BCMO
Momotus lessonii,bucmot2,Lesson's Motmot,LEMO
Momotus mexicanus,rucmot1,Russet-crowned Motmot,RCMO
Momotus momota,bucmot4,Amazonian Motmot,
Momotus subrufescens,bucmot3,Whooping Motmot,WHMO
Monachella muelleriana,torfly1,Torrent Flyrobin,
Monarcha castaneiventris,chbmon1,Chestnut-bellied Monarch,
Monarcha cinerascens,islmon1,Island Monarch,
Monarcha frater,blwmon1,Black-winged Monarch,
Monarcha godeffroyi,yapmon1,Yap Monarch,
Monarcha melanopsis,blfmon1,Black-faced Monarch,
Monarcha richardsii,whcmon1,White-capped Monarch,
Monarcha takatsukasae,tinmon1,Tinian Monarch,
Monarthropalpus flavus,,,
Monasa atra,blanun1,Black Nunbird,
Monasa flavirostris,yebnun1,Yellow-billed Nunbird,
Monasa morphoeus,whfnun1,White-fronted Nunbird,WFNU
Monasa nigrifrons,blfnun1,Black-fronted Nunbird,
Mongolodectes kiritshenkoi,,,
Mongolotettix japonicus,,,
Mongolotettix vittatus,,,
Monias benschi,submes1,Subdesert Mesite,
Monochamus clamator,,,
Monochamus galloprovincialis,,,
Monochamus notatus,,,
Monochamus scutellatus,,,
Monomatapa insignis,,,
Mononychus punctumalbum,,,
Montana armeniaca,,,
Montana barretii,,,
Montana carpetana,,,
Montana decticiformis,,,
Montana eversmanni,,,
Montana macedonica,,,
Montana medvedevi,,,
Montana montana,,,
Montana schereri,,,
Montana striata,,,
Montana stricta,,,
Montana tomini,,,
Montecincla cachinnans,bkclau2,Nilgiri Laughingthrush,
Montecincla fairbanki,kerlau2,Palani Laughingthrush,
Montecincla jerdoni,bkclau1,Banasura Laughingthrush,
Montecincla meridionalis,kerlau3,Ashambu Laughingthrush,
Montezumina modesta,,,
Monticola angolensis,mirthr1,Miombo Rock Thrush,
Monticola brevipes,strthr1,Short-toed Rock Thrush,
Monticola cinclorhyncha,bcrthr1,Blue-capped Rock Thrush,
Monticola explorator,serthr1,Sentinel Rock Thrush,
Monticola gularis,wtrthr1,White-throated Rock Thrush,
Monticola imerina,litrot1,Littoral Rock Thrush,
Monticola rufiventris,cbrthr1,Chestnut-bellied Rock Thrush,
Monticola rufocinereus,lirthr1,Little Rock Thrush,
Monticola rupestris,carthr1,Cape Rock Thrush,
Monticola saxatilis,rtrthr1,Common Rock Thrush,RTRT
Monticola semirufus,wwccha1,White-winged Cliff Chat,
Monticola sharpei,forrot2,Forest Rock Thrush,
Monticola solitarius,burthr,Blue Rock Thrush,
Montifringilla adamsi,blwsno1,Black-winged Snowfinch,
Montifringilla henrici,tibsno2,Tibetan Snowfinch,
Montifringilla nivalis,whwsno1,White-winged Snowfinch,
Morimus asper,,,
Morococcyx erythropygus,legcuc1,Lesser Ground Cuckoo,LEGC
Morphacris fasciata,,,
Morphnarchus princeps,barhaw1,Barred Hawk,BAHA
Morphnus guianensis,creeag1,Crested Eagle,CREA
Morus bassanus,norgan,Northern Gannet,NOGA
Morus capensis,capgan1,Cape Gannet,
Morus serrator,ausgan1,Australasian Gannet,
Motacilla aguimp,afpwag1,African Pied Wagtail,
Motacilla alba,whiwag,White Wagtail,WHWA
Motacilla bocagii,boclon2,Sao Tome Shorttail,
Motacilla capensis,capwag1,Cape Wagtail,
Motacilla cinerea,grywag,Grey Wagtail,GRAW
Motacilla citreola,citwag,Citrine Wagtail,CIWA
Motacilla clara,mouwag1,Mountain Wagtail,
Motacilla flava,eaywag1,Western Yellow Wagtail,
Motacilla flaviventris,madwag1,Madagascar Wagtail,
Motacilla grandis,japwag1,Japanese Wagtail,
Motacilla maderaspatensis,whbwag1,White-browed Wagtail,
Motacilla samveasnae,mekwag1,Mekong Wagtail,
Motacilla tschutschensis,eaywag,Eastern Yellow Wagtail,EYWA
Motor_vehicle_(road),,,
Motorcycle,,,
Moupinia poecilotis,rutbab1,Rufous-tailed Babbler,
Mugadina emma,,,
Mugadina marshalli,,,
Mulleripicus fuliginosus,sousow1,Southern Sooty Woodpecker,
Mulleripicus fulvus,ashwoo1,Ashy Woodpecker,
Mulleripicus funebris,soowoo1,Northern Sooty Woodpecker,
Mulleripicus pulverulentus,grswoo1,Great Slaty Woodpecker,
Mungos mungo,,,
Mungotictis decemlineata,,,
Muntiacus muntjak,,,
Muntiacus reevesi,,,
Muntiacus vaginalis,,,
Mus musculus,,,
Muscardinus avellanarius,,,
Muscicapa adusta,afdfly1,African Dusky Flycatcher,
Muscicapa aquatica,swafly3,Swamp Flycatcher,
Muscicapa cassini,casfly1,Cassin's Flycatcher,
Muscicapa dauurica,asbfly,Asian Brown Flycatcher,ABFL
Muscicapa epulata,ligfly2,Little Grey Flycatcher,
Muscicapa ferruginea,ferfly1,Ferruginous Flycatcher,
Muscicapa gambagae,gamfly1,Gambaga Flycatcher,
Muscicapa griseisticta,gysfly1,Grey-streaked Flycatcher,GSFL
Muscicapa muttui,brbfly2,Brown-breasted Flycatcher,
Muscicapa segregata,subfly2,Sumba Brown Flycatcher,
Muscicapa sethsmithi,yeffly1,Yellow-footed Flycatcher,
Muscicapa sibirica,dasfly,Dark-sided Flycatcher,DSFL
Muscicapa striata,spofly1,Spotted Flycatcher,SPFL
Muscicapa williamsoni,bnsfly1,Brown-streaked Flycatcher,
Muscigralla brevicauda,stftyr1,Short-tailed Field Tyrant,
Muscipipra vetula,shtgrt1,Shear-tailed Grey Tyrant,
Muscisaxicola albifrons,wfgtyr1,White-fronted Ground Tyrant,
Muscisaxicola albilora,wbgtyr1,White-browed Ground Tyrant,
Muscisaxicola alpinus,plcgrt1,Paramo Ground Tyrant,
Muscisaxicola capistratus,cibgrt1,Cinnamon-bellied Ground Tyrant,
Muscisaxicola cinereus,cingrt1,Cinereous Ground Tyrant,
Muscisaxicola flavinucha,ongtyr1,Ochre-naped Ground Tyrant,
Muscisaxicola frontalis,bfgtyr1,Black-fronted Ground Tyrant,
Muscisaxicola griseus,tacgrt1,Taczanowski's Ground Tyrant,
Muscisaxicola juninensis,pugtyr1,Puna Ground Tyrant,
Muscisaxicola maclovianus,dafgrt1,Dark-faced Ground Tyrant,
Muscisaxicola maculirostris,sbgtyr1,Spot-billed Ground Tyrant,
Muscisaxicola rufivertex,rngtyr1,Rufous-naped Ground Tyrant,
Music,,,
Musical_instrument,,,
Mustela erminea,,,
Mustela nigripes,,,
Mustela nivalis,,,
Mustela putorius,,,
Mustela sibirica,,,
Mustelirallus albicollis,astcra1,Ash-throated Crake,
Mustelirallus colombianus,colcra2,Colombian Crake,COLC
Mustelirallus erythrops,pabcra,Paint-billed Crake,PBCR
Mutilla marginata,,,
Myadestes coloratus,varsol1,Varied Solitaire,VASO
Myadestes elisabeth,cubsol1,Cuban Solitaire,CUSO
Myadestes genibarbis,rutsol1,Rufous-throated Solitaire,RTSO
Myadestes melanops,blfsol1,Black-faced Solitaire,BFSO
Myadestes obscurus,omao,Omao,OMAO
Myadestes occidentalis,brbsol1,Brown-backed Solitaire,BBSO
Myadestes palmeri,puaioh,Puaiohi,PUAI
Myadestes ralloides,andsol1,Andean Solitaire,
Myadestes townsendi,towsol,Townsend's Solitaire,TOSO
Myadestes unicolor,slcsol1,Slate-colored Solitaire,SCSO
Myathropa florea,,,
Mycerobas affinis,colgro1,Collared Grosbeak,
Mycerobas carnipes,whwgro1,White-winged Grosbeak,
Mycerobas icterioides,baygro1,Black-and-yellow Grosbeak,
Mycerobas melanozanthos,spwgro1,Spot-winged Grosbeak,
Mycteria americana,woosto,Wood Stork,WOST
Mycteria cinerea,milsto1,Milky Stork,
Mycteria ibis,yebsto1,Yellow-billed Stork,
Mycteria leucocephala,paisto1,Painted Stork,
Myersiella microps,,,
Mygalopsis pauperculus,,,
Mygalopsis sandowi,,,
Mygalopsis thielei,,,
Myiagra albiventris,samfly1,Samoan Flycatcher,
Myiagra alecto,shifly1,Shining Flycatcher,
Myiagra atra,biafly1,Biak Black Flycatcher,
Myiagra azureocapilla,blcfly2,Azure-crested Flycatcher,
Myiagra caledonica,melfly1,Melanesian Flycatcher,
Myiagra castaneigularis,chtfly1,Chestnut-throated Flycatcher,
Myiagra cervinicauda,ochfly1,Makira Flycatcher,
Myiagra cyanoleuca,satfly1,Satin Flycatcher,
Myiagra eichhorni,velfly1,Velvet Flycatcher,
Myiagra erythrops,palfly3,Palau Flycatcher,
Myiagra ferrocyanea,stbfly1,Steel-blue Flycatcher,
Myiagra galeata,molfly1,Moluccan Flycatcher,
Myiagra hebetior,dulfly2,Mussau Flycatcher,
Myiagra inquieta,resfly1,Restless Flycatcher,
Myiagra nana,papfly1,Paperbark Flycatcher,
Myiagra oceanica,ocefly1,Chuuk Flycatcher,
Myiagra pluto,pohfly1,Pohnpei Flycatcher,
Myiagra rubecula,leafly2,Leaden Flycatcher,
Myiagra ruficollis,brbfly1,Broad-billed Flycatcher,
Myiagra vanikorensis,vanfly1,Vanikoro Flycatcher,
Myiarchus antillarum,purfly1,Puerto Rican Flycatcher,PRFL
Myiarchus apicalis,apifly1,Apical Flycatcher,
Myiarchus barbirostris,sadfly1,Sad Flycatcher,SAFL
Myiarchus cephalotes,paefly1,Pale-edged Flycatcher,
Myiarchus cinerascens,astfly,Ash-throated Flycatcher,ATFL
Myiarchus crinitus,grcfly,Great Crested Flycatcher,GCFL
Myiarchus ferox,shcfly1,Short-crested Flycatcher,
Myiarchus magnirostris,galfly1,Galapagos Flycatcher,
Myiarchus nugator,grefly1,Grenada Flycatcher,GFLY
Myiarchus nuttingi,nutfly,Nutting's Flycatcher,NUFL
Myiarchus oberi,leafly1,Lesser Antillean Flycatcher,LAFL
Myiarchus panamensis,panfly1,Panama Flycatcher,PAFL
Myiarchus phaeocephalus,socfly2,Sooty-crowned Flycatcher,
Myiarchus sagrae,lasfly,La Sagra's Flycatcher,LSFL
Myiarchus semirufus,ruffly1,Rufous Flycatcher,
Myiarchus stolidus,stofly1,Stolid Flycatcher,STOF
Myiarchus swainsoni,swafly1,Swainson's Flycatcher,
Myiarchus tuberculifer,ducfly,Dusky-capped Flycatcher,DCFL
Myiarchus tyrannulus,bncfly,Brown-crested Flycatcher,BCFL
Myiarchus validus,rutfly1,Rufous-tailed Flycatcher,RFTF
Myiarchus venezuelensis,venfly1,Venezuelan Flycatcher,
Myiarchus yucatanensis,yucfly1,Yucatan Flycatcher,YUFL
Myiobius atricaudus,bltfly1,Black-tailed Myiobius,BTFL
Myiobius barbatus,whifly1,Whiskered Myiobius,
Myiobius sulphureipygius,surfly1,Sulphur-rumped Myiobius,SRFL
Myiobius villosus,tabfly1,Tawny-breasted Myiobius,TBFL
Myioborus albifrons,whfred2,White-fronted Whitestart,
Myioborus brunniceps,brcred1,Brown-capped Whitestart,
Myioborus castaneocapilla,tepred1,Tepui Whitestart,
Myioborus flavivertex,yecred1,Yellow-crowned Whitestart,
Myioborus melanocephalus,spered1,Spectacled Whitestart,
Myioborus miniatus,sltred,Slate-throated Whitestart,STRE
Myioborus ornatus,gofred1,Golden-fronted Whitestart,
Myioborus pariae,parred1,Paria Whitestart,
Myioborus pictus,paired,Painted Whitestart,PARE
Myioborus torquatus,colred1,Collared Whitestart,COLR
Myiodynastes bairdii,baifly1,Baird's Flycatcher,
Myiodynastes chrysocephalus,gocfly1,Golden-crowned Flycatcher,
Myiodynastes hemichrysus,gobfly1,Golden-bellied Flycatcher,GBFL
Myiodynastes luteiventris,subfly,Sulphur-bellied Flycatcher,SBFL
Myiodynastes maculatus,strfly1,Streaked Flycatcher,STRF
Myiomela leucura,whtrob2,White-tailed Robin,
Myiopagis caniceps,gryela3,Grey-headed Elaenia,GRAE
Myiopagis cotta,jamela1,Jamaican Elaenia,JAEL
Myiopagis flavivertex,yecela1,Yellow-crowned Elaenia,
Myiopagis gaimardii,forela1,Forest Elaenia,FOEL
Myiopagis olallai,fooela1,Foothill Elaenia,
Myiopagis subplacens,pacela1,Pacific Elaenia,
Myiopagis viridicata,greela,Greenish Elaenia,GREL
Myiophobus cryptoxanthus,olcfly1,Olive-chested Flycatcher,
Myiophobus fasciatus,brcfly1,Bran-colored Flycatcher,BCOF
Myiophobus flavicans,flafly2,Flavescent Flycatcher,
Myiophobus inornatus,unafly1,Unadorned Flycatcher,
Myiophobus phoenicomitra,orcfly1,Orange-crested Flycatcher,
Myiophobus roraimae,rorfly1,Roraiman Flycatcher,
Myiopsitta monachus,monpar,Monk Parakeet,MOPA
Myiornis albiventris,wbptyr1,White-bellied Pygmy Tyrant,
Myiornis atricapillus,bcptyr1,Black-capped Pygmy Tyrant,BPYT
Myiornis auricularis,eaptyr1,Eared Pygmy Tyrant,
Myiornis ecaudatus,stptyr1,Short-tailed Pygmy Tyrant,
Myiotheretes fumigatus,smbtyr2,Smoky Bush Tyrant,
Myiotheretes fuscorufus,rbbtyr1,Rufous-bellied Bush Tyrant,
Myiotheretes pernix,smbtyr1,Santa Marta Bush Tyrant,
Myiotheretes striaticollis,stbtyr1,Streak-throated Bush Tyrant,
Myiothlypis basilica,samwar1,Santa Marta Warbler,
Myiothlypis bivittata,twbwar1,Two-banded Warbler,
Myiothlypis chlorophrys,gobwar4,Choco Warbler,
Myiothlypis chrysogaster,gobwar3,Cuzco Warbler,
Myiothlypis cinereicollis,gytwar1,Grey-throated Warbler,
Myiothlypis conspicillata,whlwar1,White-lored Warbler,
Myiothlypis coronata,rucwar1,Russet-crowned Warbler,
Myiothlypis flaveola,flawar1,Flavescent Warbler,
Myiothlypis fraseri,gagwar2,Grey-and-gold Warbler,
Myiothlypis fulvicauda,burwar1,Buff-rumped Warbler,BURW
Myiothlypis griseiceps,gyhwar1,Grey-headed Warbler,
Myiothlypis leucoblephara,whbwar2,White-rimmed Warbler,
Myiothlypis leucophrys,whswar2,White-striped Warbler,
Myiothlypis luteoviridis,citwar1,Citrine Warbler,
Myiothlypis nigrocristata,blcwar2,Black-crested Warbler,
Myiothlypis rivularis,rivwar1,Riverbank Warbler,
Myiothlypis signata,palwar1,Pale-legged Warbler,
Myiotriccus ornatus,ornfly1,Ornate Flycatcher,
Myiozetetes cayanensis,rumfly1,Rusty-margined Flycatcher,RMFL
Myiozetetes granadensis,grcfly1,Grey-capped Flycatcher,GCAF
Myiozetetes luteiventris,ducfly2,Dusky-chested Flycatcher,
Myiozetetes similis,socfly1,Social Flycatcher,SOFL
Myocastor coypus,,,
Myophonus blighi,ceywht1,Sri Lanka Whistling Thrush,
Myophonus borneensis,borwht1,Bornean Whistling Thrush,
Myophonus caeruleus,blwthr1,Blue Whistling Thrush,
Myophonus castaneus,chwwht1,Brown-winged Whistling Thrush,
Myophonus glaucinus,javwht1,Javan Whistling Thrush,
Myophonus horsfieldii,mawthr1,Malabar Whistling Thrush,
Myophonus insularis,fowthr1,Taiwan Whistling Thrush,
Myophonus melanurus,shwthr1,Shiny Whistling Thrush,
Myophonus robinsoni,mawthr2,Malayan Whistling Thrush,
Myopornis boehmi,boefly1,Böhm's Flycatcher,
Myopsalta albiventris,,,
Myopsalta atrata,,,
Myopsalta bassiana,,,
Myopsalta binotata,,,
Myopsalta bisonabilis,,,
Myopsalta coolahensis,,,
Myopsalta crucifera,,,
Myopsalta leona,,,
Myopsalta longicauda,,,
Myopsalta mackinlayi,,,
Myopsalta majurae,,,
Myopsalta parvula,,,
Myopsalta septa,,,
Myopsalta waterhousei,,,
Myopsalta wollomombi,,,
Myopsalta xerograsidia,,,
Myornis senilis,asctap1,Ash-colored Tapaculo,
Myrmeciza longipes,whbant1,White-bellied Antbird,WBEA
Myrmecocichla aethiops,noacha1,Anteater Chat,
Myrmecocichla arnotti,whbcha2,Arnot's Chat,
Myrmecocichla formicivora,soacha1,Ant-eating Chat,
Myrmecocichla melaena,ruecha1,Rüppell's Black Chat,
Myrmecocichla monticola,mouwhe1,Mountain Chat,
Myrmecocichla nigra,soocha1,Sooty Chat,
Myrmecophaga tridactyla,,,
Myrmelastes brunneiceps,brhant1,Brownish-headed Antbird,
Myrmelastes caurensis,cauant2,Caura Antbird,
Myrmelastes humaythae,humant1,Humaita Antbird,
Myrmelastes hyperythrus,pluant1,Plumbeous Antbird,
Myrmelastes leucostigma,spwant3,Spot-winged Antbird,
Myrmelastes rufifacies,rufant4,Rufous-faced Antbird,
Myrmelastes saturatus,rorant2,Roraiman Antbird,
Myrmelastes schistaceus,slcant3,Slate-colored Antbird,
Myrmeleotettix maculatus,,,
Myrmeleotettix palpalis,,,
Myrmia micrura,shtwoo1,Short-tailed Woodstar,
Myrmoborus leucophrys,whbant6,White-browed Antbird,
Myrmoborus lophotes,whlant1,White-lined Antbird,
Myrmoborus lugubris,asbant1,Ash-breasted Antbird,
Myrmoborus melanurus,bltant1,Black-tailed Antbird,
Myrmoborus myotherinus,blfant2,Black-faced Antbird,
Myrmochanes hemileucus,bawant1,Black-and-white Antbird,
Myrmoderus eowilsoni,whiant1,Cordillera Azul Antbird,
Myrmoderus ferrugineus,febant1,Ferruginous-backed Antbird,
Myrmoderus loricatus,whbant4,White-bibbed Antbird,
Myrmoderus ruficauda,scaant3,Scalloped Antbird,
Myrmoderus squamosus,squant1,Squamate Antbird,
Myrmophylax atrothorax,bltant2,Black-throated Antbird,
Myrmorchilus strigilatus,stbant2,Stripe-backed Antbird,
Myrmornis torquata,wibant1,Wing-banded Antbird,WBAA
Myrmothera berlepschi,amaant1,Amazonian Antpitta,
Myrmothera campanisona,thlant2,Thrush-like Antpitta,
Myrmothera dives,thiant1,Thicket Antpitta,THAN
Myrmothera fulviventris,whlant2,White-lored Antpitta,
Myrmothera simplex,tepant1,Tepui Antpitta,
Myrmothera subcanescens,thlant3,Tapajos Antpitta,
Myrmotherula ambigua,yetant1,Yellow-throated Antwren,
Myrmotherula assimilis,leaant1,Leaden Antwren,
Myrmotherula axillaris,whfant2,White-flanked Antwren,WFLA
Myrmotherula behni,plwant2,Plain-winged Antwren,
Myrmotherula brachyura,pygant1,Pygmy Antwren,
Myrmotherula cherriei,cheant1,Cherrie's Antwren,
Myrmotherula grisea,ashant1,Yungas Antwren,
Myrmotherula ignota,mouant,Moustached Antwren,MOAN
Myrmotherula iheringi,iheant1,Ihering's Antwren,
Myrmotherula klagesi,klaant1,Klages's Antwren,
Myrmotherula longicauda,stcant4,Stripe-chested Antwren,
Myrmotherula longipennis,lowant1,Long-winged Antwren,
Myrmotherula menetriesii,gryant1,Grey Antwren,
Myrmotherula minor,salant1,Salvadori's Antwren,
Myrmotherula multostriata,amasta1,Amazonian Streaked Antwren,
Myrmotherula pacifica,pacant,Pacific Antwren,PAAN
Myrmotherula schisticolor,slaant1,Slaty Antwren,SLAN
Myrmotherula sclateri,sclant1,Sclater's Antwren,
Myrmotherula snowi,alaant1,Alagoas Antwren,
Myrmotherula sunensis,risant1,Rio Suno Antwren,
Myrmotherula surinamensis,guista1,Guianan Streaked Antwren,
Myrmotherula unicolor,uniant1,Unicolored Antwren,
Myrmotherula urosticta,batant3,Band-tailed Antwren,
Myrtis fanny,pucwoo1,Purple-collared Woodstar,
Mystacornis crossleyi,crobab1,Crossley's Vanga,
Myza celebensis,daehon1,Dark-eared Myza,
Myza sarasinorum,grshon1,White-eared Myza,
Myzomela adolphinae,moumyz1,Mountain Myzomela,
Myzomela albigula,whcmyz1,White-chinned Myzomela,
Myzomela blasii,sermyz1,Drab Myzomela,
Myzomela boiei,banmyz1,Banda Myzomela,
Myzomela caledonica,necmyz1,New Caledonian Myzomela,
Myzomela cardinalis,carmyz1,Cardinal Myzomela,
Myzomela chermesina,rotmyz1,Rotuma Myzomela,
Myzomela chloroptera,sulmyz1,Sulawesi Myzomela,
Myzomela cineracea,ashmyz1,Ashy Myzomela,
Myzomela cruentata,redmyz2,Red Myzomela,
Myzomela dammermani,summyz1,Sumba Myzomela,
Myzomela eichhorni,yevmyz1,Crimson-rumped Myzomela,
Myzomela erythrocephala,rehmyz1,Red-headed Myzomela,
Myzomela irianawidodoae,rotmyz2,Rote Myzomela,
Myzomela jugularis,orbmyz1,Sulphur-breasted Myzomela,
Myzomela kuehni,crhmyz1,Wetar Myzomela,
Myzomela lafargei,scnmyz1,Red-capped Myzomela,
Myzomela malaitae,rebmyz1,Red-vested Myzomela,
Myzomela melanocephala,blhmyz1,Black-headed Myzomela,
Myzomela nigrita,blamyz1,Papuan Black Myzomela,
Myzomela obscura,dusmyz5,Dusky Myzomela,
Myzomela pammelaena,ebomyz1,Bismarck Black Myzomela,
Myzomela prawiradilagae,alomyz1,Alor Myzomela,
Myzomela rosenbergii,recmyz1,Red-collared Myzomela,
Myzomela rubratra,micmyz1,Micronesian Myzomela,
Myzomela sanguinolenta,scamyz1,Scarlet Myzomela,
Myzomela sclateri,scbmyz1,Sclater's Myzomela,
Myzomela simplex,dusmyz4,Moluccan Myzomela,
Myzomela tristrami,soomyz1,Sooty Myzomela,
Myzomela vulnerata,bkbmyz1,Black-breasted Myzomela,
Myzomela wakoloensis,wakmyz1,Wakolo Myzomela,
Myzornis pyrrhoura,fitmyz1,Fire-tailed Myzornis,
Naemorhedus griseus,,,
Nahlaksia suphattra,,,
Namibornis herero,hercha1,Herero Chat,
Nandinia binotata,,,
Nanger dama,,,
Nanixipha nahoa,,,
Nannopsittaca dachilleae,amapar1,Manu Parrotlet,
Nannopsittaca panychlora,teppar1,Tepui Parrotlet,
Nannopsittacus gulielmitertii,orbfip2,Blue-fronted Fig Parrot,
Nannopterum auritum,doccor,Double-crested Cormorant,DCCO
Nannopterum brasilianum,neocor,Neotropic Cormorant,NECO
Nannopterum harrisi,flicor1,Flightless Cormorant,
Napothera albostriata,sumwrb1,Sumatran Wren-Babbler,
Napothera danjoui,stsbab1,Short-tailed Scimitar Babbler,
Napothera epilepidota,eywbab1,Eyebrowed Wren-Babbler,
Napothera malacoptila,lbwbab1,Long-billed Wren-Babbler,
Napothera naungmungensis,namscb1,Naung Mung Scimitar Babbler,
Napothera pasquieri,whtwrb1,White-throated Wren-Babbler,
Nasalis larvatus,,,
Nasica longirostris,lobwoo1,Long-billed Woodcreeper,
Nasikabatrachus sahyadrensis,,,
Nasua narica,,,
Nasua nasua,,,
Natrix natrix,,,
Natula averni,,,
Natula longipennis,,,
Natula matsuurai,,,
Natula pallidula,,,
Neafrapus boehmi,balspi1,Böhm's Spinetail,
Necrosyrtes monachus,hoovul1,Hooded Vulture,
Nectarinia bocagii,bocsun2,Bocage's Sunbird,
Nectarinia famosa,malsun1,Malachite Sunbird,
Nectarinia johnstoni,retsun2,Scarlet-tufted Sunbird,
Nectarinia kilimensis,brosun1,Bronze Sunbird,
Nectarinia tacazze,tacsun1,Tacazze Sunbird,
Neduba arborea,,,
Neduba carinata,,,
Neduba cascadia,,,
Neduba castanea,,,
Neduba convexa,,,
Neduba duplocantans,,,
Neduba inversa,,,
Neduba lucubrata,,,
Neduba macneilli,,,
Neduba propsti,,,
Neduba radicata,,,
Neduba radocantans,,,
Neduba sequoia,,,
Neduba sierranus,,,
Neduba steindachneri,,,
Nemobius sylvestris,,,
Nemosia pileata,hootan1,Hooded Tanager,
Nemosia rourei,chttan1,Cherry-throated Tanager,
Nengetus cinereus,grymon1,Grey Monjita,
Neobarrettia victoriae,,,
Neobatrachus kunapalari,,,
Neobatrachus pictus,,,
Neobatrachus sudelli,,,
